"","OTU","Sample","Abundance","sample_Sample","Experiment","Temperature","Treatment","Week","is.neg","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"4743","sq822","MM_TEMP_12_",0.000748014883578196,"MM_TEMP_12_","Temp",29,"",3,FALSE,"Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Order_Bacteroidales",NA,NA
"4744","sq1929","MM_TEMP_G10_",0.000747294393957591,"MM_TEMP_G10_","Temp",31,"",3,FALSE,"Bacteria","Desulfobacterota","Desulfuromonadia","PB19","Order_PB19",NA,NA
"4745","sq5937","MM_TEMP_G10_",0.000747294393957591,"MM_TEMP_G10_","Temp",31,"",3,FALSE,"Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae",NA,NA
"4746","sq2644","MM_TEMP_G4_",0.000747176739320709,"MM_TEMP_G4_","Temp",29,"",5,FALSE,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Order_Rhizobiales",NA,NA
"4747","sq354","MM_TEMP_G4_",0.000747176739320709,"MM_TEMP_G4_","Temp",29,"",5,FALSE,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiales Incertae Sedis",NA,NA
"4748","sq1636","MM_TEMP_H1_",0.000746969029514853,"MM_TEMP_H1_","Temp",31,"",5,FALSE,"Bacteria","Bacteroidota","Kryptonia","Kryptoniales","MSB-3C8",NA,NA
"4749","sq2972","MM_TEMP_H1_",0.000746969029514853,"MM_TEMP_H1_","Temp",31,"",5,FALSE,"Bacteria","Sva0485","Phylum_Sva0485","Phylum_Sva0485","Phylum_Sva0485",NA,NA
"4750","sq137","MM_TEMP_10_",0.000746743976631306,"MM_TEMP_10_","Temp",29,"",1,FALSE,"Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudohongiellaceae",NA,NA
"4751","sq988","MM_TEMP_G12_",0.000746185720863035,"MM_TEMP_G12_","Temp",31,"",5,FALSE,"Bacteria","Proteobacteria","Magnetococcia","Magnetococcales","Magnetococcaceae",NA,NA
"4752","sq167","MM_TEMP_2_",0.000746129453460175,"MM_TEMP_2_","Temp",26,"",1,FALSE,"Bacteria","LCP-89","Phylum_LCP-89","Phylum_LCP-89","Phylum_LCP-89",NA,NA
