"","OTU","Sample","Abundance","sample_Sample","Experiment","Temperature","Treatment","Week","is.neg","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"78","sq29","MM_Inield_12_",0.0468985627398709,"MM_Inield_12_","Field",NA,"Few Small",NA,FALSE,"Bacteria","Bacteroidota","Bacteroidia","Chitinophagales","Saprospiraceae",NA,NA
"79","sq5","MM_Inield_9_",0.0446498487616884,"MM_Inield_9_","Field",NA,"Many Small",NA,FALSE,"Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Halieaceae",NA,NA
"80","sq27","MM_Inield_G7_",0.0443885170639969,"MM_Inield_G7_","Field",NA,"HD",NA,FALSE,"Bacteria","Proteobacteria","Gammaproteobacteria","Steroidobacterales","Woeseiaceae",NA,NA
"81","sq5","MM_Inield_1_",0.0443572147331587,"MM_Inield_1_","Field",NA,"ND",NA,FALSE,"Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Halieaceae",NA,NA
"82","sq67","MM_Inield_G2_",0.0442881783202866,"MM_Inield_G2_","Field",NA,"Few Small",NA,FALSE,"Bacteria","Planctomycetota","Planctomycetes","Pirellulales","Pirellulaceae",NA,NA
"83","sq5","MM_Inield_10_",0.043821152543631,"MM_Inield_10_","Field",NA,"Many Small",NA,FALSE,"Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Halieaceae",NA,NA
"84","sq5","MM_Inield_G7_",0.043042572413666,"MM_Inield_G7_","Field",NA,"HD",NA,FALSE,"Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Halieaceae",NA,NA
"85","sq29","MM_Inield_G2_",0.043023307239839,"MM_Inield_G2_","Field",NA,"Few Small",NA,FALSE,"Bacteria","Bacteroidota","Bacteroidia","Chitinophagales","Saprospiraceae",NA,NA
"86","sq67","MM_Inield_5_",0.0426599221920663,"MM_Inield_5_","Field",NA,"ND",NA,FALSE,"Bacteria","Planctomycetota","Planctomycetes","Pirellulales","Pirellulaceae",NA,NA
"87","sq38","MM_Inield_1_",0.0425985187065425,"MM_Inield_1_","Field",NA,"ND",NA,FALSE,"Bacteria","Desulfobacterota","Desulfobacteria","Desulfobacterales","Desulfosarcinaceae",NA,NA
"88","sq5","MM_Inield_G4_",0.0424849357175965,"MM_Inield_G4_","Field",NA,"HD",NA,FALSE,"Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Halieaceae",NA,NA
"89","sq5","MM_Inield_G3_",0.0423637200440977,"MM_Inield_G3_","Field",NA,"HD",NA,FALSE,"Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Halieaceae",NA,NA
"90","sq27","MM_Inield_11_",0.0422137486959963,"MM_Inield_11_","Field",NA,"Few Small",NA,FALSE,"Bacteria","Proteobacteria","Gammaproteobacteria","Steroidobacterales","Woeseiaceae",NA,NA
"91","sq27","MM_Inield_6_",0.0421030472080417,"MM_Inield_6_","Field",NA,"Many Small",NA,FALSE,"Bacteria","Proteobacteria","Gammaproteobacteria","Steroidobacterales","Woeseiaceae",NA,NA
"92","sq29","MM_Inield_6_",0.042032875462695,"MM_Inield_6_","Field",NA,"Many Small",NA,FALSE,"Bacteria","Bacteroidota","Bacteroidia","Chitinophagales","Saprospiraceae",NA,NA
"93","sq5","MM_Inield_12_",0.0409379712547974,"MM_Inield_12_","Field",NA,"Few Small",NA,FALSE,"Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Halieaceae",NA,NA
"94","sq5","MM_Inield_G6_",0.0405250885610511,"MM_Inield_G6_","Field",NA,"HD",NA,FALSE,"Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Halieaceae",NA,NA
"95","sq67","MM_Inield_4_",0.0403071502625612,"MM_Inield_4_","Field",NA,"ND",NA,FALSE,"Bacteria","Planctomycetota","Planctomycetes","Pirellulales","Pirellulaceae",NA,NA
"96","sq5","MM_Inield_6_",0.0400154377839763,"MM_Inield_6_","Field",NA,"Many Small",NA,FALSE,"Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Halieaceae",NA,NA
"97","sq38","MM_Inield_G5_",0.0388329960581967,"MM_Inield_G5_","Field",NA,"HD",NA,FALSE,"Bacteria","Desulfobacterota","Desulfobacteria","Desulfobacterales","Desulfosarcinaceae",NA,NA
"98","sq38","MM_Inield_5_",0.0384250195360093,"MM_Inield_5_","Field",NA,"ND",NA,FALSE,"Bacteria","Desulfobacterota","Desulfobacteria","Desulfobacterales","Desulfosarcinaceae",NA,NA
"99","sq5","MM_Inield_2_",0.0383364334430295,"MM_Inield_2_","Field",NA,"ND",NA,FALSE,"Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Halieaceae",NA,NA
"100","sq19","MM_Inield_6_",0.0381383435959511,"MM_Inield_6_","Field",NA,"Many Small",NA,FALSE,"Bacteria","Bacteroidota","Bacteroidia","Cytophagales","Cyclobacteriaceae",NA,NA
"101","sq91","MM_Inield_10_",0.0379294667792427,"MM_Inield_10_","Field",NA,"Many Small",NA,FALSE,"Bacteria","Desulfobacterota","Desulfovibrionia","Desulfovibrionales","Desulfovibrionaceae",NA,NA
"102","sq29","MM_Inield_G1_",0.0374312966976689,"MM_Inield_G1_","Field",NA,"Few Small",NA,FALSE,"Bacteria","Bacteroidota","Bacteroidia","Chitinophagales","Saprospiraceae",NA,NA
"103","sq67","MM_Inield_6_",0.0373138255881269,"MM_Inield_6_","Field",NA,"Many Small",NA,FALSE,"Bacteria","Planctomycetota","Planctomycetes","Pirellulales","Pirellulaceae",NA,NA
"104","sq27","MM_Inield_G5_",0.037260111061026,"MM_Inield_G5_","Field",NA,"HD",NA,FALSE,"Bacteria","Proteobacteria","Gammaproteobacteria","Steroidobacterales","Woeseiaceae",NA,NA
"105","sq67","MM_Inield_3_",0.0370542667017253,"MM_Inield_3_","Field",NA,"ND",NA,FALSE,"Bacteria","Planctomycetota","Planctomycetes","Pirellulales","Pirellulaceae",NA,NA
"106","sq27","MM_Inield_2_",0.0368197643916631,"MM_Inield_2_","Field",NA,"ND",NA,FALSE,"Bacteria","Proteobacteria","Gammaproteobacteria","Steroidobacterales","Woeseiaceae",NA,NA
"107","sq67","MM_Inield_9_",0.0363816425862519,"MM_Inield_9_","Field",NA,"Many Small",NA,FALSE,"Bacteria","Planctomycetota","Planctomycetes","Pirellulales","Pirellulaceae",NA,NA
"108","sq67","MM_Inield_G1_",0.0361326785371341,"MM_Inield_G1_","Field",NA,"Few Small",NA,FALSE,"Bacteria","Planctomycetota","Planctomycetes","Pirellulales","Pirellulaceae",NA,NA
"109","sq19","MM_Inield_7_",0.0359288388426154,"MM_Inield_7_","Field",NA,"Many Small",NA,FALSE,"Bacteria","Bacteroidota","Bacteroidia","Cytophagales","Cyclobacteriaceae",NA,NA
"110","sq5","MM_Inield_3_",0.0357699075665945,"MM_Inield_3_","Field",NA,"ND",NA,FALSE,"Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Halieaceae",NA,NA
"111","sq67","MM_Inield_G7_",0.035621439238896,"MM_Inield_G7_","Field",NA,"HD",NA,FALSE,"Bacteria","Planctomycetota","Planctomycetes","Pirellulales","Pirellulaceae",NA,NA
"112","sq91","MM_Inield_G5_",0.0353899124363413,"MM_Inield_G5_","Field",NA,"HD",NA,FALSE,"Bacteria","Desulfobacterota","Desulfovibrionia","Desulfovibrionales","Desulfovibrionaceae",NA,NA
"113","sq38","MM_Inield_G3_",0.0353209388947757,"MM_Inield_G3_","Field",NA,"HD",NA,FALSE,"Bacteria","Desulfobacterota","Desulfobacteria","Desulfobacterales","Desulfosarcinaceae",NA,NA
"114","sq91","MM_Inield_12_",0.0350631436759839,"MM_Inield_12_","Field",NA,"Few Small",NA,FALSE,"Bacteria","Desulfobacterota","Desulfovibrionia","Desulfovibrionales","Desulfovibrionaceae",NA,NA
"115","sq67","MM_Inield_2_",0.0346258406066676,"MM_Inield_2_","Field",NA,"ND",NA,FALSE,"Bacteria","Planctomycetota","Planctomycetes","Pirellulales","Pirellulaceae",NA,NA
"116","sq5","MM_Inield_4_",0.0344996164836184,"MM_Inield_4_","Field",NA,"ND",NA,FALSE,"Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Halieaceae",NA,NA
"117","sq38","MM_Inield_4_",0.0340950277733292,"MM_Inield_4_","Field",NA,"ND",NA,FALSE,"Bacteria","Desulfobacterota","Desulfobacteria","Desulfobacterales","Desulfosarcinaceae",NA,NA
"118","sq19","MM_Inield_3_",0.0339798952286564,"MM_Inield_3_","Field",NA,"ND",NA,FALSE,"Bacteria","Bacteroidota","Bacteroidia","Cytophagales","Cyclobacteriaceae",NA,NA
"119","sq19","MM_Inield_G3_",0.0338652880797183,"MM_Inield_G3_","Field",NA,"HD",NA,FALSE,"Bacteria","Bacteroidota","Bacteroidia","Cytophagales","Cyclobacteriaceae",NA,NA
"120","sq27","MM_Inield_10_",0.0338099258668201,"MM_Inield_10_","Field",NA,"Many Small",NA,FALSE,"Bacteria","Proteobacteria","Gammaproteobacteria","Steroidobacterales","Woeseiaceae",NA,NA
"121","sq19","MM_Inield_G6_",0.0336868301869871,"MM_Inield_G6_","Field",NA,"HD",NA,FALSE,"Bacteria","Bacteroidota","Bacteroidia","Cytophagales","Cyclobacteriaceae",NA,NA
"122","sq29","MM_Inield_4_",0.0333027082156795,"MM_Inield_4_","Field",NA,"ND",NA,FALSE,"Bacteria","Bacteroidota","Bacteroidia","Chitinophagales","Saprospiraceae",NA,NA
