"","OTU","Sample","Abundance","sample_Sample","Experiment","Temperature","Treatment","Week","is.neg","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"43","sq64","MM_Nab_A8_",0.0880174109571841,"MM_Nab_A8_","Summer",22,"ND",1,FALSE,"Bacteria","Chloroflexi","Anaerolineae","SBR1031","A4b",NA,NA
"44","sq64","Mat_18P_TCCCGA_",0.0877116280472177,"Mat_18P_TCCCGA_","Summer",22,"Few Large",3,FALSE,"Bacteria","Chloroflexi","Anaerolineae","SBR1031","A4b",NA,NA
"45","sq8","Mat_17P_TCATTC_",0.0870569504619721,"Mat_17P_TCATTC_","Summer",22,"Few Large",3,FALSE,"Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae",NA,NA
"46","sq15","MM_Nab_C2_",0.0867334715693645,"MM_Nab_C2_","Summer",26,"Few Large",5,FALSE,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae",NA,NA
"47","sq29","Mat_38P_TCGGCA_",0.0860659294877359,"Mat_38P_TCGGCA_","Summer",26,"ND",3,FALSE,"Bacteria","Bacteroidota","Bacteroidia","Chitinophagales","Saprospiraceae",NA,NA
"48","sq8","Mat_3P_TATAAT_",0.0858751290791797,"Mat_3P_TATAAT_","Summer",26,"Few Large",1,FALSE,"Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae",NA,NA
"49","sq15","Mat_7P_TCATTC_",0.0847791699098602,"Mat_7P_TCATTC_","Summer",26,"Few Small",1,FALSE,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae",NA,NA
"50","sq8","Mat_15P_TCATTC_",0.0837015459474793,"Mat_15P_TCATTC_","Summer",22,"HD",3,FALSE,"Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae",NA,NA
"51","sq15","Mat_15P_TCATTC_",0.083559715903512,"Mat_15P_TCATTC_","Summer",22,"HD",3,FALSE,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae",NA,NA
"52","sq15","MM_Nab_B6_",0.0832129129926175,"MM_Nab_B6_","Summer",22,"Few Small",5,FALSE,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae",NA,NA
"53","sq64","Mat_36P_TCGGCA_",0.082747637753477,"Mat_36P_TCGGCA_","Summer",26,"Many Small",3,FALSE,"Bacteria","Chloroflexi","Anaerolineae","SBR1031","A4b",NA,NA
"54","sq15","MM_Nab_C7_",0.08227276698605,"MM_Nab_C7_","Summer",26,"Many Small",5,FALSE,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae",NA,NA
"55","sq15","MM_Nab_A6_",0.0819014100706186,"MM_Nab_A6_","Summer",22,"Many Small",1,FALSE,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae",NA,NA
"56","sq15","Mat_28P_TCCCGA_",0.0816704898972442,"Mat_28P_TCCCGA_","Summer",26,"Few Large",3,FALSE,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae",NA,NA
"57","sq64","Mat_19P_TCCCGA_",0.0816551912195788,"Mat_19P_TCCCGA_","Summer",22,"Few Small",3,FALSE,"Bacteria","Chloroflexi","Anaerolineae","SBR1031","A4b",NA,NA
"58","sq29","MM_Nab_B2_",0.0814534047836884,"MM_Nab_B2_","Summer",22,"Few Large",5,FALSE,"Bacteria","Bacteroidota","Bacteroidia","Chitinophagales","Saprospiraceae",NA,NA
